Sex,Age,Career,Income,Budget,Usage characteristics No1,Usage characteristics No2,Usage characteristics No3,Design characteristics No1,Design characteristics No2,Design characteristics No3,Adidas shoes
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time",Can be used in any situation,"Light, comfortable, soft, breathable",Modern Follow fashion trends,It has a street-style design,It has a minimalist design,Adidas Stan Smith
Female,18 - 23 Years old,Other,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time",Can be used in any situation,Easy to put on and take off your shoes,Modern Follow fashion trends,It has a minimalist design,The design is sleek,Adidas Stan Smith
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Can be used in any situation,Easy to clean,It has a street-style design,It has a minimalist design,Colorful,Adidas Superstar
Male,18 - 23 Years old,Private company,"20,001 - 25,000 Baht","3,001 - 4,500 Baht",Easy to put on and take off your shoes,"It is strong, durable and can be used for a long time",Can be used in any situation,It has a street-style design,It is classic and traditional,Shoes have a shape that is not like other shoes,Adidas Stan Smith
Male,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,Tight and flexible to fit,"Light, comfortable, soft, breathable",It is classic and traditional,It has a street-style design,Other,Adidas Stan Smith
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Tight and flexible to fit,Can be used in any situation,Easy to clean,The design is sleek,Modern Follow fashion trends,It has a minimalist design,Adidas Stan Smith
LGBT,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Can be used in any situation,Easy to put on and take off your shoes,Modern Follow fashion trends,It has a minimalist design,It is classic and traditional,Adidas Superstar
Male,18 - 23 Years old,Student,"20,001 - 25,000 Baht","3,001 - 4,500 Baht","It is strong, durable and can be used for a long time",Tight and flexible to fit,Easy to put on and take off your shoes,Modern Follow fashion trends,The design is sleek,It has a minimalist design,Adidas Ultra Boost
Male,24 - 30 Years old,Private company,"20,001 - 25,000 Baht","3,001 - 4,500 Baht","It is strong, durable and can be used for a long time",Tight and flexible to fit,Good impact resistance,It is classic and traditional,It has a minimalist design,The design is sleek,Adidas NMD XR1
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","< 1,500 Baht",Tight and flexible to fit,Can be used in any situation,"Light, comfortable, soft, breathable",It has a minimalist design,It is classic and traditional,Modern Follow fashion trends,Adidas Stan Smith
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",Easy to put on and take off your shoes,Shoes have a shape that is not like other shoes,It has a minimalist design,Modern Follow fashion trends,Adidas Superstar
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Tight and flexible to fit,"It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,The design is sleek,It has a minimalist design,Modern Follow fashion trends,Adidas Superstar
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,Tight and flexible to fit,"Light, comfortable, soft, breathable",It is classic and traditional,It has a minimalist design,Modern Follow fashion trends,Adidas Stan Smith
Female,18 - 23 Years old,Private company,"25,001 - 40,000 Baht","3,001 - 4,500 Baht",Easy to put on and take off your shoes,Tight and flexible to fit,Can be used in any situation,It has a minimalist design,It is classic and traditional,It has a street-style design,Adidas Superstar
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Easy to put on and take off your shoes,Can be used in any situation,The design is sleek,It has a minimalist design,It is classic and traditional,Adidas Superstar
Female,18 - 23 Years old,Other,"15,001 - 20,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",Can be used in any situation,It has a minimalist design,It is classic and traditional,It has a street-style design,Adidas Stan Smith
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Easy to put on and take off your shoes,Can be used in any situation,"Light, comfortable, soft, breathable",It has a minimalist design,The design is sleek,Modern Follow fashion trends,Adidas Superstar
Male,18 - 23 Years old,Student,"< 5,000 Baht","< 1,500 Baht","Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",Can be used in any situation,It has a minimalist design,It is classic and traditional,Modern Follow fashion trends,Adidas Superstar
Female,30 - 36 Years old,Private company,"25,001 - 40,000 Baht","4,501 - 6,000 Baht",Can be used in any situation,Easy to put on and take off your shoes,Tight and flexible to fit,It is classic and traditional,Modern Follow fashion trends,The design is sleek,Adidas Stan Smith
Male,30 - 36 Years old,Private company,"25,001 - 40,000 Baht","3,001 - 4,500 Baht","It is strong, durable and can be used for a long time",Tight and flexible to fit,Good impact resistance,It has a minimalist design,Shoes have a shape that is not like other shoes,It is classic and traditional,Adidas Ultra Boost
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht",Tight and flexible to fit,Can be used in any situation,"It is strong, durable and can be used for a long time",It has a street-style design,Shoes have a shape that is not like other shoes,Other,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"20,001 - 25,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time",Can be used in any situation,Easy to clean,It is classic and traditional,It has a street-style design,It has a minimalist design,Adidas Stan Smith
Female,24 - 30 Years old,freelance,"25,001 - 40,000 Baht","6,501 - 8,000 Baht",Good impact resistance,Easy to put on and take off your shoes,"Light, comfortable, soft, breathable",Shoes have a shape that is not like other shoes,Colorful,The design is sleek,Adidas Superstar
Female,18 - 23 Years old,Private company,"25,001 - 40,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,Tight and flexible to fit,"Light, comfortable, soft, breathable",It has a minimalist design,It has a street-style design,The design is sleek,Adidas Slip on
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Can be used in any situation,"It is strong, durable and can be used for a long time",Modern Follow fashion trends,It has a street-style design,It has a minimalist design,Adidas Superstar
Female,>36 Years old,Private company,"60,001 - 100,000 Baht","6,501 - 8,000 Baht","Light, comfortable, soft, breathable",Good impact resistance,Easy to put on and take off your shoes,It has a minimalist design,The design is sleek,Other,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",Easy to clean,It has a minimalist design,It has a street-style design,It is classic and traditional,Adidas Stan Smith
Female,24 - 30 Years old,Private company,"25,001 - 40,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Can be used in any situation,Good impact resistance,It has a minimalist design,It is classic and traditional,Modern Follow fashion trends,Adidas Stan Smith
LGBT,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",Can be used in any situation,It is classic and traditional,It has a minimalist design,It has a street-style design,Adidas Ultra Boost
Male,24 - 30 Years old,Student,">100,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Easy to put on and take off your shoes,Easy to clean,It is classic and traditional,The design is sleek,It has a minimalist design,Adidas Superstar
Female,18 - 23 Years old,Student,"< 5,000 Baht","< 1,500 Baht","It is strong, durable and can be used for a long time",Tight and flexible to fit,"Light, comfortable, soft, breathable",It is classic and traditional,The design is sleek,It has a minimalist design,Adidas Superstar
Female,18 - 23 Years old,Private company,"25,001 - 40,000 Baht","1,500 - 3,000 Baht",Good impact resistance,"Light, comfortable, soft, breathable",Tight and flexible to fit,Modern Follow fashion trends,The design is sleek,Colorful,Adidas Stan Smith
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","< 1,500 Baht","Light, comfortable, soft, breathable",Can be used in any situation,Easy to put on and take off your shoes,It has a street-style design,Modern Follow fashion trends,The design is sleek,Adidas Stan Smith
Male,18 - 23 Years old,Student,"15,001 - 20,000 Baht","6,501 - 8,000 Baht",Good impact resistance,"It is strong, durable and can be used for a long time",Can be used in any situation,It is classic and traditional,The design is sleek,Colorful,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",It has a minimalist design,Modern Follow fashion trends,The design is sleek,Adidas Superstar
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht",Easy to put on and take off your shoes,Can be used in any situation,"Light, comfortable, soft, breathable",It has a minimalist design,It is classic and traditional,Modern Follow fashion trends,Adidas Stan Smith
LGBT,18 - 23 Years old,Private company,"25,001 - 40,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable","Light, comfortable, soft, breathable",It has a street-style design,The design is sleek,Shoes have a shape that is not like other shoes,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,The design is sleek,It has a minimalist design,Modern Follow fashion trends,Adidas Superstar
Female,24 - 30 Years old,Private company,"15,001 - 20,000 Baht","4,501 - 6,000 Baht",Easy to put on and take off your shoes,"It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",It is classic and traditional,It has a minimalist design,It has a street-style design,Adidas Superstar
Male,24 - 30 Years old,Private company,"25,001 - 40,000 Baht","6,501 - 8,000 Baht",Can be used in any situation,"It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",It has a street-style design,Modern Follow fashion trends,The design is sleek,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",It has a street-style design,It has a minimalist design,It is classic and traditional,Adidas Slip on
Male,24 - 30 Years old,Other,"5,000 - 15,000 Baht","4,501 - 6,000 Baht",Can be used in any situation,"It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,The design is sleek,It has a minimalist design,Modern Follow fashion trends,Adidas Ultra Boost
LGBT,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Easy to put on and take off your shoes,"It is strong, durable and can be used for a long time",Can be used in any situation,It has a minimalist design,It is classic and traditional,It has a street-style design,Adidas Stan Smith
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",Tight and flexible to fit,It has a minimalist design,It has a street-style design,It is classic and traditional,Adidas Superstar
Female,24 - 30 Years old,Student,"15,001 - 20,000 Baht","3,001 - 4,500 Baht","Light, comfortable, soft, breathable",Can be used in any situation,"It is strong, durable and can be used for a long time",Modern Follow fashion trends,Shoes have a shape that is not like other shoes,It has a street-style design,Adidas Ultra Boost
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","4,501 - 6,000 Baht",Tight and flexible to fit,Can be used in any situation,Easy to put on and take off your shoes,It is classic and traditional,The design is sleek,It has a minimalist design,Adidas NMD XR1
Female,18 - 23 Years old,Student,"< 5,000 Baht","3,001 - 4,500 Baht",Can be used in any situation,Tight and flexible to fit,"It is strong, durable and can be used for a long time",It is classic and traditional,It has a minimalist design,Other,Adidas Superstar
Female,< 18 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable",Tight and flexible to fit,It has a minimalist design,It has a street-style design,It is classic and traditional,Adidas Stan Smith
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",It has a minimalist design,Colorful,Modern Follow fashion trends,Adidas Superstar
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",Good impact resistance,The design is sleek,It has a minimalist design,Modern Follow fashion trends,Adidas Ultra Boost
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","6,501 - 8,000 Baht","Light, comfortable, soft, breathable",Good impact resistance,Tight and flexible to fit,It has a street-style design,Modern Follow fashion trends,The design is sleek,Adidas Stan Smith
LGBT,18 - 23 Years old,Student,"15,001 - 20,000 Baht",">8,000 Baht",Easy to put on and take off your shoes,"Light, comfortable, soft, breathable",Can be used in any situation,It is classic and traditional,It has a street-style design,Shoes have a shape that is not like other shoes,Adidas NMD XR1
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",It is classic and traditional,It has a street-style design,It has a minimalist design,Adidas Superstar
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht",Can be used in any situation,Tight and flexible to fit,"It is strong, durable and can be used for a long time",Modern Follow fashion trends,It is classic and traditional,It has a street-style design,Adidas Ultra Boost
Female,>36 Years old,Private company,"40,001 - 60,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Can be used in any situation,"It is strong, durable and can be used for a long time",It has a minimalist design,It has a street-style design,Modern Follow fashion trends,Adidas Stan Smith
Female,24 - 30 Years old,Private company,"25,001 - 40,000 Baht","4,501 - 6,000 Baht",Tight and flexible to fit,"It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",It has a minimalist design,It is classic and traditional,Modern Follow fashion trends,Adidas Stan Smith
Male,30 - 36 Years old,Private company,"15,001 - 20,000 Baht","3,001 - 4,500 Baht","Light, comfortable, soft, breathable",Tight and flexible to fit,Good impact resistance,Modern Follow fashion trends,Colorful,Modern Follow fashion trends,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht",Can be used in any situation,"Light, comfortable, soft, breathable",Tight and flexible to fit,The design is sleek,Modern Follow fashion trends,Colorful,Adidas NMD XR1
Female,18 - 23 Years old,Student,"< 5,000 Baht","3,001 - 4,500 Baht",Can be used in any situation,"Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",It has a minimalist design,It is classic and traditional,Colorful,Adidas Stan Smith
LGBT,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time",Can be used in any situation,Easy to put on and take off your shoes,It has a minimalist design,It is classic and traditional,It has a street-style design,Adidas Stan Smith
Female,18 - 23 Years old,Student,"< 5,000 Baht","< 1,500 Baht","It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,Can be used in any situation,It has a minimalist design,It is classic and traditional,It has a street-style design,Adidas Stan Smith
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",Can be used in any situation,It has a minimalist design,Colorful,Modern Follow fashion trends,Adidas Stan Smith
Female,24 - 30 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"It is strong, durable and can be used for a long time",Tight and flexible to fit,It has a minimalist design,It is classic and traditional,It has a street-style design,Adidas Slip on
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Easy to put on and take off your shoes,Tight and flexible to fit,The design is sleek,It has a minimalist design,It is classic and traditional,Adidas Stan Smith
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht",Easy to put on and take off your shoes,Can be used in any situation,"Light, comfortable, soft, breathable",The design is sleek,Modern Follow fashion trends,Colorful,Adidas Superstar
LGBT,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht",Tight and flexible to fit,"Light, comfortable, soft, breathable",Can be used in any situation,It has a minimalist design,Colorful,It is classic and traditional,Adidas Stan Smith
Female,18 - 23 Years old,Student,"< 5,000 Baht","3,001 - 4,500 Baht",Can be used in any situation,"It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",It has a minimalist design,Modern Follow fashion trends,It has a street-style design,Adidas Superstar
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,Easy to clean,It has a minimalist design,It is classic and traditional,The design is sleek,Adidas Stan Smith
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",It is classic and traditional,Colorful,It has a minimalist design,Adidas Superstar
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time",Can be used in any situation,"Light, comfortable, soft, breathable",Colorful,It has a minimalist design,Modern Follow fashion trends,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,It has a minimalist design,It is classic and traditional,Modern Follow fashion trends,Adidas Stan Smith
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,It has a street-style design,It is classic and traditional,Colorful,Adidas Superstar
Male,>36 Years old,Private company,"20,001 - 25,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",Good impact resistance,Modern Follow fashion trends,It has a street-style design,Shoes have a shape that is not like other shoes,Adidas Superstar
Female,18 - 23 Years old,Student,"15,001 - 20,000 Baht","3,001 - 4,500 Baht","Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",Can be used in any situation,It is classic and traditional,The design is sleek,Modern Follow fashion trends,Adidas Stan Smith
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht",Tight and flexible to fit,"Light, comfortable, soft, breathable",Easy to put on and take off your shoes,It is classic and traditional,It has a minimalist design,Modern Follow fashion trends,Adidas Superstar
LGBT,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht","Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,It has a minimalist design,It has a street-style design,It is classic and traditional,Adidas Stan Smith
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht","It is strong, durable and can be used for a long time",Can be used in any situation,"Light, comfortable, soft, breathable",The design is sleek,It has a minimalist design,Shoes have a shape that is not like other shoes,Adidas Ultra Boost
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",Easy to put on and take off your shoes,Modern Follow fashion trends,The design is sleek,It has a minimalist design,Adidas Stan Smith
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",It has a minimalist design,It has a street-style design,It is classic and traditional,Adidas Stan Smith
Female,>36 Years old,Self-employed,"15,001 - 20,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Tight and flexible to fit,Easy to clean,The design is sleek,Colorful,It is classic and traditional,Adidas Slip on
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht","Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,It is classic and traditional,The design is sleek,It has a minimalist design,Adidas Superstar
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","< 1,500 Baht","Light, comfortable, soft, breathable",Easy to put on and take off your shoes,"It is strong, durable and can be used for a long time",It is classic and traditional,Modern Follow fashion trends,The design is sleek,Adidas Superstar
Male,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht","Light, comfortable, soft, breathable",Tight and flexible to fit,Can be used in any situation,It has a minimalist design,It is classic and traditional,Modern Follow fashion trends,Adidas Stan Smith
Female,24 - 30 Years old,Private company,"25,001 - 40,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",Can be used in any situation,It has a minimalist design,It has a street-style design,Modern Follow fashion trends,Adidas Stan Smith
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,Good impact resistance,"Light, comfortable, soft, breathable",It has a street-style design,It has a minimalist design,Other,Adidas Stan Smith
Female,24 - 30 Years old,Private company,"25,001 - 40,000 Baht","4,501 - 6,000 Baht","Light, comfortable, soft, breathable","It is strong, durable and can be used for a long time",Can be used in any situation,It has a street-style design,It has a minimalist design,Modern Follow fashion trends,Adidas Stan Smith
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Easy to put on and take off your shoes,Easy to clean,It has a minimalist design,The design is sleek,It is classic and traditional,Adidas Stan Smith
LGBT,24 - 30 Years old,Private company,"25,001 - 40,000 Baht","3,001 - 4,500 Baht",Tight and flexible to fit,"It is strong, durable and can be used for a long time",Easy to clean,It is classic and traditional,It has a minimalist design,The design is sleek,Adidas NMD XR1
LGBT,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Can be used in any situation,"It is strong, durable and can be used for a long time",It has a street-style design,The design is sleek,Modern Follow fashion trends,Adidas Ultra Boost
Female,18 - 23 Years old,Private company,"25,001 - 40,000 Baht","< 1,500 Baht","It is strong, durable and can be used for a long time",Tight and flexible to fit,Can be used in any situation,It has a minimalist design,The design is sleek,Modern Follow fashion trends,Adidas Stan Smith
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht",Tight and flexible to fit,"It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,It has a street-style design,Modern Follow fashion trends,Shoes have a shape that is not like other shoes,Adidas Slip on
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","1,500 - 3,000 Baht","It is strong, durable and can be used for a long time",Can be used in any situation,Good impact resistance,It has a street-style design,It is classic and traditional,Shoes have a shape that is not like other shoes,Adidas Superstar
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht","Light, comfortable, soft, breathable",Tight and flexible to fit,Easy to clean,It is classic and traditional,It has a minimalist design,The design is sleek,Adidas Stan Smith
Female,18 - 23 Years old,Student,"15,001 - 20,000 Baht","4,501 - 6,000 Baht","Light, comfortable, soft, breathable",Can be used in any situation,Tight and flexible to fit,It has a minimalist design,It has a street-style design,The design is sleek,Adidas Stan Smith
Male,>36 Years old,Private company,"60,001 - 100,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"It is strong, durable and can be used for a long time","Light, comfortable, soft, breathable",It is classic and traditional,It has a minimalist design,Shoes have a shape that is not like other shoes,Adidas Stan Smith
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Easy to put on and take off your shoes,Can be used in any situation,"It is strong, durable and can be used for a long time",It has a minimalist design,The design is sleek,It is classic and traditional,Adidas Stan Smith
Female,18 - 23 Years old,Student,"< 5,000 Baht","1,500 - 3,000 Baht",Can be used in any situation,"It is strong, durable and can be used for a long time",Easy to put on and take off your shoes,It has a minimalist design,The design is sleek,Modern Follow fashion trends,Adidas NMD XR1
Female,18 - 23 Years old,Student,"5,000 - 15,000 Baht","3,001 - 4,500 Baht","Light, comfortable, soft, breathable",Can be used in any situation,"It is strong, durable and can be used for a long time",The design is sleek,Modern Follow fashion trends,It has a street-style design,Adidas Stan Smith
